date,wc,aow
2014-01-01,392.120,46.769
2014-01-02,392.115,46.657
2014-01-03,392.110,46.545
2014-01-04,392.105,46.434
2014-01-05,392.100,46.322
2014-01-06,392.095,46.211
2014-01-07,392.090,46.099
2014-01-08,392.085,45.988
2014-01-09,392.080,45.877
2014-01-10,392.075,45.766
2014-01-11,392.062,45.478
2014-01-12,392.055,45.323
2014-01-13,392.045,45.102
2014-01-14,392.035,44.882
2014-01-15,392.030,44.772
2014-01-16,392.025,44.663
2014-01-17,392.020,44.553
2014-01-18,392.015,44.444
2014-01-19,392.010,44.334
2014-01-20,392.005,44.225
2014-01-21,392.000,44.116
2014-01-22,391.970,43.464
2014-01-23,391.955,43.139
2014-01-24,391.947,42.967
2014-01-25,391.943,42.881
2014-01-26,391.935,42.709
2014-01-27,391.928,42.558
2014-01-28,391.920,42.387
2014-01-29,391.910,42.173
2014-01-30,391.945,42.924
2014-01-31,391.995,44.007
2014-02-01,391.990,43.898
2014-02-02,391.974,43.550
2014-02-03,391.969,43.442
2014-02-04,391.950,43.032
2014-02-05,391.939,42.795
2014-02-06,391.940,42.816
2014-02-07,391.919,42.366
2014-02-08,391.910,42.173
2014-02-09,391.890,41.747
2014-02-10,391.870,41.323
2014-02-11,391.835,40.585
2014-02-12,391.800,39.854
2014-02-13,391.750,38.819
2014-02-14,391.710,38.001
2014-02-15,391.680,37.392
2014-02-16,391.670,37.190
2014-02-17,391.660,36.989
2014-02-18,391.649,36.768
2014-02-19,391.650,36.788
2014-02-20,391.647,36.728
2014-02-21,391.522,34.261
2014-02-22,391.513,34.087
2014-02-23,391.506,33.951
2014-02-24,391.501,33.854
2014-02-25,391.497,33.777
2014-02-26,391.490,33.642
2014-02-27,391.485,33.546
2014-02-28,391.478,33.411
2014-03-01,391.462,33.105
2014-03-02,391.460,33.067
2014-03-03,391.451,32.895
2014-03-04,391.447,32.819
2014-03-05,391.439,32.666
2014-03-06,391.429,32.477
2014-03-07,391.420,32.306
2014-03-08,391.415,32.212
2014-03-09,391.409,32.098
2014-03-10,391.403,31.985
2014-03-11,391.394,31.816
2014-03-12,391.390,31.741
2014-03-13,391.384,31.629
2014-03-14,391.376,31.479
2014-03-15,391.326,30.551
2014-03-16,391.280,29.708
2014-03-17,391.230,28.803
2014-03-18,391.190,28.089
2014-03-19,391.196,28.196
2014-03-20,391.100,26.511
2014-03-21,391.015,25.057
2014-03-22,390.965,24.219
2014-03-23,390.949,23.954
2014-03-24,390.945,23.887
